"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PMI1956",962.718006791043,5.88100125680963,0.716936692730581,8.20295755042302,2.3454403584918e-16,2.06457387556241e-13
"PMI3002",909.311964947315,5.02677324610765,0.512234435125913,9.81342311528122,9.85669421018208e-23,3.47054203140511e-19
"PMI1804",7415.95827058613,4.86579151866252,0.706950186924725,6.88279260499102,5.86904452674919e-12,1.58960813682184e-09
"PMI3226",10516.3824645577,4.75248978126991,0.714773009174555,6.6489496948944,2.95191858659943e-11,6.49606583963536e-09
"PMI3699",10944.8613224687,4.74331718622257,0.5057245548479,9.37925030681801,6.64434691896736e-21,1.1697372750842e-17
"PMI1702",524.434329735016,4.70671885577039,0.679724187686987,6.92445397858614,4.37660286672045e-12,1.28416822447689e-09
"PMI2449",124.222336636689,4.69520752764012,0.641136769384935,7.32325418201236,2.42028738762036e-13,1.21740455597304e-10
"PMI1320",16714.8497896633,4.60113446464545,0.644060858693598,7.14394362355495,9.06906090302124e-13,3.54801815994864e-10
"PMI2662",30597.3680573259,4.53270443277363,0.812671768790009,5.57753401415973,2.43952094164566e-08,2.32150087446875e-06
"PMI2448",160.127914199465,4.49396695090827,0.648450821834572,6.93031267690295,4.19911459561609e-12,1.28416822447689e-09
"PMI1611",126.042322118833,4.43163072645619,0.652452631406115,6.79226431642323,1.10387061721286e-11,2.77623460229034e-09
"PMI3698",1512.81435645952,4.43050367875809,0.519215987041157,8.53306483108521,1.42520767081608e-17,1.67271873631447e-14
"PMI1319",296.604316686424,4.25518606835591,0.603670198095686,7.04885893287286,1.80390912223286e-12,6.35156401938191e-10
"PMI0471",67.991291744556,4.23547993173926,0.73849118974368,5.73531545204939,9.73310205620875e-09,1.00794859823268e-06
"PMI1542",200.375662881107,4.17926906501146,0.736956002198343,5.67098856993454,1.41975871454758e-08,1.42827726683487e-06
"PMI2446",122.007436128932,4.11649227719634,0.665292229177275,6.18749490323514,6.11278227379665e-10,1.0761553193019e-07
"PMI1333",6603.67392542678,3.97418366958019,0.554249173459417,7.17039169363991,7.47834893694303e-13,3.29140832587205e-10
"PMI2218",135.282769384245,3.96727599182232,0.634378654168152,6.25379805224457,4.00588948786387e-10,7.83596493709372e-08
"PMI2440",28.1784429400172,3.94606506677099,0.883904122700527,4.46435870749744,8.03089235100739e-06,0.000297149813773619
"PMI1061",315.929138089672,3.92197224540653,0.512716243290228,7.64940119750889,2.01917348732072e-14,1.42190196977125e-11
"PMI3001",52.6017851860679,3.85355413776914,0.75138878017134,5.12857556495642,2.91942712568911e-07,1.86896416537297e-05
"PMI1773",4281.69319275832,3.8237838382156,0.570119525252342,6.70698628769669,1.98684924746482e-11,4.66379746688242e-09
"PMI1286",564.303112482135,3.81814568695863,0.633017520688,6.03165878064298,1.62285162307406e-09,2.18332489999304e-07
"PMI1011",635.333838235893,3.8164604040688,0.696524734604079,5.47928912565922,4.2703805984113e-08,3.66731953341614e-06
"PMI0469",87.9923042072621,3.80284202665477,0.60120741286717,6.32534121380664,2.52673614731525e-10,5.23331645570412e-08
"PMI1031",2333.64419661011,3.79610885976649,0.517232594402545,7.33926844682201,2.14764470759051e-13,1.21740455597304e-10
"PMI0781",4492.89309694458,3.75199400159166,0.851710573023879,4.40524530330853,1.05664237329039e-05,0.000361207553044221
"PMI2223",3070.83872842544,3.69393949771288,0.600086437519735,6.1556790268092,7.47564932089599e-10,1.25341720280356e-07
"PMI2365",387.28158031486,3.69368556120547,0.612894986768994,6.02662061355325,1.67423380573167e-09,2.18332489999304e-07
"PMI2442",57.6569930690877,3.67988187932895,0.753545681466747,4.88342242525523,1.04260178867415e-06,5.24428699703096e-05
"PMI0348",4464.59492896784,3.67497011787915,0.728011092186505,5.04795896288031,4.4655503224089e-07,2.71089701468995e-05
"PMI2114",11826.863922692,3.65454525390311,0.759079114019347,4.81444580203529,1.47608956800501e-06,7.11960461499401e-05
"PMI2847",17624.6227864572,3.64749834670794,0.773384412844466,4.7162811741869,2.40194439708409e-06,0.000111279555554383
"PMI1740",14453.3791029974,3.63762712749199,0.608489031339215,5.97813097712869,2.25712230515412e-09,2.8383312987313e-07
"PMI0437",16501.2822571291,3.6282303333876,0.878892134800515,4.12818614449327,3.65636074438266e-05,0.000982751616868042
"PMI2447",27.1324965813717,3.54814709118883,0.812610496954068,4.36635645796904,1.26336245480904e-05,0.000419650868243643
"PMI0436",2563.55413497347,3.53772324424685,0.801665020016506,4.41296945222085,1.01962387793487e-05,0.000352469011899755
"fig|529507.6.peg.454",60.6698857409128,3.516537456688,0.65238172325312,5.39030652047191,7.03376073713727e-08,5.75950501289775e-06
"PMI2203",5345.35520965015,3.50687733207175,0.635517393056498,5.51814532597693,3.4259607207347e-08,3.09302761479664e-06
"PMI0973",295.292703970524,3.49681327600737,0.708931606111848,4.93251146635389,8.11790125189726e-07,4.24711768904318e-05
"PMIP08",16629.5240822019,3.47980383170337,0.588807057940017,5.90992207851194,3.42269597531197e-09,4.15562501002532e-07
"PMI0622",1350.97826528304,3.46952182679604,0.587787529696287,5.90268022288387,3.57643082467942e-09,4.19753764456541e-07
"PMI1406",6708.03742817837,3.45003737299956,0.733759772557107,4.70186224706268,2.57799406727903e-06,0.000117884637803759
"PMI2441",188.976124263258,3.43345095568975,0.56407136482168,6.08690880235546,1.15111494160699e-09,1.76220683017313e-07
"PMI0845",608.713513460209,3.42290056215864,0.586906299555766,5.83210738196107,5.47316758973176e-09,6.21645905917598e-07
"PMI0223",8109.16913046136,3.40104592287844,0.733272933972592,4.63817190749545,3.51504372739871e-06,0.000152795913137912
"PMI1449",1643.79818252651,3.37107864236503,0.656709335508577,5.13328874753144,2.84722577669679e-07,1.86896416537297e-05
"PMI1349",10077.7431961961,3.36187027545761,0.78440897727866,4.28586410002713,1.82030245867995e-05,0.000543159742119671
"PMI2763",2753.25879208766,3.35635863482751,0.538937646485212,6.22773090118433,4.7323898612324e-10,8.76986563231541e-08
"PMI2470",35.3780593667589,3.33892077422488,0.844857448860897,3.95205224115226,7.7483819262886e-05,0.00183101025251424
"PMI2224",27.1777367420988,3.3309866872354,0.787972652445773,4.22728717411247,2.36525716096611e-05,0.000688270286261294
"PMI0467",231.918155044372,3.31777457911087,0.547119657684607,6.06407489204754,1.32715307442396e-09,1.8691623900187e-07
"PMI1737",2535.20008184183,3.31033531986496,0.538829087176613,6.14357205029639,8.06860470266509e-10,1.29134350718563e-07
"PMI1082",1525.74058642899,3.26717972215409,0.783656506968329,4.16914769813317,3.05740817987222e-05,0.000861210736106407
"PMI0536",1107.4857237966,3.24832179966708,0.589430237968659,5.51095208630914,3.56897875426869e-08,3.14159354844501e-06
"PMI3039",5006.40605592012,3.24741887977229,0.820309125834205,3.95877453694041,7.53353111640661e-05,0.00179989948729673
"PMI0480",51.5417515071043,3.24702900305581,0.731931137602279,4.43624930849738,9.15398262643436e-06,0.000325567402299752
"PMI0457",25.3169002780357,3.22900412290897,0.814479492523597,3.96450021461457,7.35498806624672e-05,0.00179839673480936
"PMI0250",40343.8972107288,3.19490096281008,0.571380309855769,5.59154893457312,2.25052846713434e-08,2.20114187021667e-06
"PMI3449",7073.82628542614,3.15931107355811,0.762677807064017,4.14239282210151,3.43700999162342e-05,0.000945446264102036
"PMI2367",225.126953611817,3.14398439552127,0.540464200457049,5.81719268891913,5.98441439941456e-09,6.58472596885583e-07
"PMI0785",177052.037193252,3.11189915495044,0.591232577458548,5.26340948316336,1.41408143449084e-07,1.05935760230686e-05
"PMI2846",780.709821771717,3.1103671168883,0.596778178084418,5.21193172121705,1.8688433699441e-07,1.34289745011697e-05
"PMI2428",185.087044314263,3.08618414771806,0.592598129063069,5.20788709305831,1.91003082507731e-07,1.34504370701944e-05
"PMI2451",320.703735770739,3.07881352673837,0.761288269015795,4.04421511803763,5.24987002108384e-05,0.00133947770610407
"PMI2764",2100.27221128994,3.06251668582424,0.570257733310541,5.37040798735913,7.8558708599178e-08,6.14678251061569e-06
"PMI0786",1024.14685972301,3.06148051607207,0.550417138938016,5.56210971551311,2.66532627709508e-08,2.46963521622415e-06
"fig|529507.6.peg.1530",105.939830610397,3.06070263888148,0.72635677533386,4.21377309721476,2.51139592506041e-05,0.000724805332142436
"PMI2221",705.784683988557,3.05522188936881,0.619658778003889,4.93049077624724,8.20232896492293e-07,4.24711768904318e-05
"PMI2827",28.2430591686878,3.04070774915384,0.770986203641079,3.94391979362758,8.01604779339581e-05,0.00187384493765558
"PMI0992",64.9072453471084,3.0393114529745,0.666558548623368,4.55970665930478,5.12251247332547e-06,0.000214718647840226
"PMI3235",6192.07587248958,3.0311191183522,0.563307555958801,5.38093104963408,7.41015753498196e-08,5.92981015469806e-06
"PMI0468",177.218220669066,3.00836897443038,0.579766787877015,5.18892947532644,2.11506474936713e-07,1.46022411421994e-05
"PMI2219",15.3153919361266,3.00208551660179,0.876928764038784,3.42340865040779,0.000618410330847462,0.00851633355456292
"PMI1720",8569.31555511769,2.99779809584605,0.784615458354766,3.8207227042557,0.000133061191276373,0.00266197985502334
