"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PMI0348",788.245169418545,3.44887421104463,0.321750446145585,10.7190969037044,8.2807906115054e-27,3.04319054972824e-23
"PMI0781",412.337695777869,3.30473840271634,0.356295329170506,9.27527848992611,1.7715563639199e-20,1.30209392748112e-17
"PMI3226",4790.03970905303,2.89929228579444,0.358804136504765,8.08043160827923,6.45379442037686e-16,2.15615404498954e-13
"PMI1956",167.15704592518,2.42125318920944,0.366746224204391,6.60198532230848,4.056876879631e-11,3.54976726967713e-09
"PMI1807",883.347699074391,2.37198201281698,0.24319276847592,9.75350553259502,1.78205984871904e-22,1.63726748601062e-19
"PMI3550",3146.08188502776,2.32122050963613,0.309863517100427,7.49110618557855,6.82955336907796e-14,1.56866303946009e-11
"PMI1808",567.429709270213,2.23539442163714,0.284749392277484,7.850392247576,4.14738070441619e-15,1.17243262220996e-12
"PMI2408",59.4807103796719,2.22972340919986,0.369793981281712,6.0296368304092,1.64328534435187e-09,7.64439701328245e-08
"PMI1542",42.6152684335827,2.21548772133568,0.402876828832272,5.49916888433919,3.8158553018504e-08,1.04651255479852e-06
"PMI1439",220.397746765926,2.18359500555952,0.297349058851528,7.34354100192336,2.08015632598799e-13,4.02346026210834e-11
"PMI0603",722.025049089498,2.13129085645001,0.211180373273304,10.0922771534822,5.97666910988284e-24,1.09821294894097e-20
"PMI3556",5864.06360981894,2.12978276790739,0.321452698168536,6.62549351752762,3.46089922634877e-11,3.17970116420793e-09
"PMI3039",2999.14650567332,2.12892145723703,0.388144742055826,5.48486486242504,4.13785611548806e-08,1.12641638699397e-06
"PMI2114",5124.42424005313,2.10950909147275,0.355315878527836,5.9369963994094,2.90291039902255e-09,1.25508184898916e-07
"PMI3549",1179.427518891,2.08005674667703,0.339278683713411,6.13082061009779,8.74269413605575e-10,4.58991442142927e-08
"PMI0688",1068.14012097068,1.99023490021874,0.3051917086983,6.52126136947648,6.97185728127474e-11,5.451399044401e-09
"PMI2809",10172.1941635484,1.98318463134897,0.352880787963636,5.61998470586427,1.90974364077633e-08,5.94771854224832e-07
"PMI2341",1708.400809592,1.95623400027477,0.335079544987108,5.83811823055341,5.27936899653406e-09,2.17996416429917e-07
"PMI1804",2287.72022664283,1.93613929115306,0.416173534795238,4.6522403018867,3.28348123831804e-06,4.43632115838926e-05
"PMI1082",350.380646242574,1.91900179045315,0.275166460987791,6.97396689830703,3.08126611663584e-12,4.04416177808453e-10
"PMI2569",330.689231088147,1.91819123334411,0.305130740903126,6.28645684032572,3.24793257278261e-10,2.05665478737186e-08
"PMI3595",2161.39470029064,1.90279343429893,0.311461794298085,6.1092354475999,1.0010954930475e-09,5.1097582457633e-08
"PMI2662",9322.00246829518,1.90156010998585,0.347448191467645,5.47293137993763,4.42651549103817e-08,1.19613561982097e-06
"PMI1406",3715.3253652993,1.89362677833051,0.244959697378175,7.73036053929752,1.07242418002324e-14,2.81511347256099e-12
"PMI2763",727.122743468087,1.84924679714374,0.274356193845026,6.74031364565551,1.58045090802732e-11,1.70828149617659e-09
"PMI0279",361091.638696154,1.84827556655428,0.18687241839104,9.89057444896267,4.57395634871749e-23,5.60309652717893e-20
"PMI0602",234.810438263619,1.82501841120754,0.267397586740649,6.82511175008336,8.7856897791883e-12,1.04152935285539e-09
"PMI3038",987.532158180151,1.8020644366914,0.382817485893568,4.70737231995828,2.50930349906597e-06,3.67398022273604e-05
"PMI0834",708.941158300685,1.79072828650878,0.284759745122246,6.28855839767672,3.2042753253209e-10,2.05665478737186e-08
"PMI2764",1225.66970594023,1.78441027105238,0.322459004046115,5.53375855120234,3.13440379091263e-08,9.07002671779835e-07
"PMI0436",598.212585905705,1.78396163376087,0.382274438453482,4.66670395482892,3.06069822264054e-06,4.24455319554867e-05
"PMI3449",1015.46528481114,1.77066428721289,0.373684884394787,4.73838884353223,2.15424142695009e-06,3.23136214042514e-05
"PMI1509",4076.92978811104,1.76581932886707,0.269603279757007,6.54969527988903,5.76546043825941e-11,4.60610154578334e-09
"PMI1773",1380.47595551876,1.76529459146782,0.280923424918781,6.28389957860647,3.30184033890992e-10,2.05665478737186e-08
"PMI0604",267.88867125979,1.73841608006077,0.239138235783879,7.26950282276006,3.60812984814281e-13,6.31422723424992e-11
"PMI3703",507.774235717845,1.70784115984284,0.24614307592873,6.9384082952524,3.96542268295925e-12,5.02514771030181e-10
"PMI1349",1103.47459120076,1.69929874253166,0.368133230766804,4.61598845339797,3.912286993454e-06,5.11660309642116e-05
"PMI1223",1716.05916293428,1.69790138128197,0.258077418491905,6.57903892252095,4.73498821572016e-11,3.95479129381172e-09
"PMI1031",1051.81229279956,1.67343621407771,0.508460148105134,3.29118460967701,0.000997664179812443,0.00542062578940151
"PMI3007",1516.91025484211,1.66268342749103,0.253146890081972,6.5680578850984,5.0975726427529e-11,4.1630176582482e-09
"PMI0622",334.960235847665,1.66071798342461,0.340059209237754,4.88361420103025,1.04158777615128e-06,1.82277860826473e-05
"PMI1320",3648.23562011132,1.65089545713756,0.345641933864536,4.7763170361863,1.78534843132628e-06,2.7567880189597e-05
"PMI3557",4240.55825914401,1.63615319117757,0.326568488244244,5.01013799578198,5.43910198570055e-07,1.03525946285593e-05
"PMI1333",399.445942182825,1.62942856403435,0.302290588674588,5.39027222507548,7.0351032397357e-08,1.79765671767809e-06
"PMI2410",39.2337402716761,1.6263956847182,0.347839410423968,4.67570849069647,2.92940486500327e-06,4.10899346522406e-05
"PMI3001",60.4071379278586,1.61964714917771,0.375786791221467,4.31001617676121,1.6324260431464e-05,0.000174902790337114
"PMI1032",438.639876111722,1.59460215827623,0.238331719502345,6.69068373108658,2.22130272495057e-11,2.3323678611981e-09
"PMI1819",145.382906549395,1.59189049881496,0.276280769547347,5.7618577703511,8.31930922856713e-09,3.17468952823116e-07
"PMI1011",169.840533580575,1.5914709036639,0.334049471650645,4.76417728128692,1.89625736071562e-06,2.88445074965426e-05
"PMI1508",1196.24718264013,1.58636437853337,0.248064131595936,6.39497684863748,1.60571682880273e-10,1.11339798978302e-08
"PMI0437",6666.86799350308,1.57137975517788,0.49908934930245,3.14849386662752,0.00164114167237082,0.00834190269151141
"PMI0631",2161.42240775428,1.56850654526441,0.273376177343723,5.7375392417324,9.60620267347072e-09,3.58710914460658e-07
"PMI1469",542.49761053704,1.53765446204735,0.387967230628482,3.96336169824561,7.39016837717049e-05,0.000617247017865944
"PMI0278",31046.6004738466,1.53625715989713,0.218492626405504,7.03116249353863,2.04819797835395e-12,2.89504906555799e-10
"PMI2827",39.101001880297,1.52604759138267,0.36335334968266,4.19989960933473,2.67033351947028e-05,0.000258930756835179
"PMI1476",9207.12589613869,1.52291672186677,0.344557621357079,4.41991883931805,9.87379768593734e-06,0.000113394395299437
"PMI1023",334.688249837735,1.5227412642712,0.281590580598429,5.40764275933914,6.38596377078055e-08,1.66609177286787e-06
"PMI1452",727.248566188223,1.51518558555502,0.251569666075897,6.02292640917168,1.71291338650952e-09,7.77155147583025e-08
"PMI1702",324.976618307297,1.51198615289921,0.36369579138735,4.15728251111073,3.22055631019845e-05,0.000307416738700761
"PMI3037",29694.6611618102,1.51071986706034,0.367617110239955,4.1094927982929,3.96529079967648e-05,0.000363402585755887
"PMI1202",1142.7039028059,1.50782947134105,0.243675282149053,6.18786385735561,6.09849614925155e-10,3.50187083570304e-08
"PMI0606",123.374853876495,1.50244213556286,0.268252050425175,5.60085983753531,2.13291151084362e-08,6.58693260701707e-07
"PMI3450",2774.29010996659,1.48925476786743,0.338084861691035,4.40497323783876,1.05796938261517e-05,0.000120001156824406
"fig|529507.6.peg.1530",60.1254063467459,1.47805699840917,0.267312549602753,5.52932139028144,3.21471917518477e-08,9.15821160372407e-07
"PMI0435",421.770950524008,1.47423679233858,0.366623316078465,4.02112120993163,5.79217896467664e-05,0.000496183163057964
"PMI1475",35876.3417040211,1.45108123242971,0.372336295173036,3.89723282753123,9.72980684198561e-05,0.00078760000317835
"PMI2368",157.681994628175,1.44352646110149,0.27434549066891,5.26171018004298,1.42721613677938e-07,3.27813706416513e-06
"PMI3200",2564.45800855242,1.43747018930604,0.260942347363519,5.50876545654545,3.61358994931073e-08,9.98491959677966e-07
"PMI1225",472.685320265543,1.4357408475428,0.250873032065273,5.72297801690077,1.04672813720392e-08,3.80863950913307e-07
"PMI1224",1879.54049266876,1.43259813645644,0.269114738567981,5.3233730121197,1.01860569821989e-07,2.52930806821493e-06
"PMI2268",3129.05219845142,1.42951702918866,0.312232900983032,4.57836770144331,4.68618404051372e-06,5.94027672052836e-05
"PMI2387",3574.61792009311,1.41965923795802,0.263385259042455,5.39004818690019,7.04387938355497e-08,1.79765671767809e-06
