,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PMI1031,1118.35038940042,4.91665457835043,0.330208815806097,14.8895315418761,3.85460783970729e-50,1.38881520464654e-46
PMI0781,550.574064034338,4.70058576407427,0.379878130196194,12.3739309805663,3.61677702858988e-35,6.51562381700468e-32
PMI0348,1505.67995712595,4.60067188869886,0.502823260792127,9.149679912284,5.71024892692287e-20,2.57175336046289e-17
PMI2408,120.501755705372,3.74679739440416,0.496478915289697,7.54674021195419,4.46287550998216e-14,5.95545943054286e-12
PMI1956,159.943869455271,3.74496557796303,0.391597082798854,9.56331326882395,1.14045901380619e-21,8.21814765348742e-19
PMI2662,11219.4104681594,3.72934422096027,0.569023272051503,6.55393971412599,5.6038597479633e-11,3.67103757671123e-09
PMI3226,4614.88903929535,3.71535024371739,0.48606983656392,7.64365522037245,2.11140318355484e-14,3.04295426813924e-12
PMI3039,3491.01179674408,3.58774705568677,0.560530166956804,6.40063152205554,1.54735594088642e-10,9.29187242502294e-09
PMI1804,1400.63238889981,3.46047202761267,0.408334480760083,8.47460155990568,2.35885472370354e-17,6.53765659192604e-15
PMI3549,1929.8577582236,3.26369375335246,0.522418586931969,6.24727725045026,4.17669300974891e-10,2.08939920491384e-08
PMI1011,244.756645712127,3.18111654811501,0.458407235595579,6.93949898932549,3.93492936631105e-12,3.01650010783377e-10
PMI3550,5102.72070327475,3.18014338091958,0.532520657927037,5.97186857182039,2.34551456258914e-09,9.38987663223186e-08
PMI1349,936.655552015647,3.10684937182409,0.41932152822377,7.40922934480515,1.27035451553073e-13,1.47647978047007e-11
PMI2764,1086.52673418661,2.95550845650901,0.422022961946999,7.00319348234941,2.50192932857796e-12,2.09638403973637e-10
PMI0436,673.127501459339,2.94006276081898,0.564715790554098,5.20626979092297,1.92674460637086e-07,4.13217905759178e-06
PMI1808,810.537061577358,2.93311137170054,0.420449787952539,6.97612760368816,3.03427156418819e-12,2.42944009906001e-10
PMI3595,2187.27592788356,2.91645544207945,0.310989927128755,9.37797397171641,6.72525481668339e-21,4.03851551741838e-18
PMI2763,671.213292739974,2.8921692120239,0.329835943008017,8.76850832461763,1.81048792082228e-18,6.52318797872268e-16
PMI3449,929.447620418726,2.80058645037206,0.448592938230745,6.24304622675872,4.29130006005063e-10,2.08939920491384e-08
PMI0631,2603.56117332435,2.79829673642301,0.345537430822376,8.09838960069563,5.56914701988449e-16,1.25410229454024e-13
PMI1406,3080.04354469204,2.78446208453741,0.444909438797346,6.25849182265993,3.88718275343172e-10,1.97260837473443e-08
PMI3556,6481.70718674941,2.76873020305797,0.536597195018019,5.15979253854466,2.47223643061321e-07,5.03246771723131e-06
PMI1807,1229.41546202508,2.76805312658939,0.432842319429126,6.39506120898752,1.60483055768591e-10,9.47902376941369e-09
PMI2268,3353.65789810854,2.7501442737022,0.500732771301214,5.49223943652744,3.96868830409365e-08,1.04373605544886e-06
PMI1395,88.7421757081702,2.72689435391892,0.430438631720514,6.33515245371728,2.37106707018875e-10,1.31430071598309e-08
PMI1773,1271.15749147807,2.69349504941086,0.338754965918314,7.95116033829701,1.84772615790395e-15,3.17017016520378e-13
PMI1407,11455.8885412046,2.69263755304596,0.439461296635986,6.12713240883264,8.94770083404065e-10,4.13314950064724e-08
PMI2114,4700.26511908158,2.67097552885159,0.550496827141232,4.85193628221646,1.22261906475779e-06,1.84313660682943e-05
PMI3557,4500.46972645733,2.65860710595157,0.499358610566089,5.32404378275901,1.01485462781422e-07,2.38988315295075e-06
PMI2236,2410.26768738466,2.61922968071643,0.471524645758055,5.55480970990516,2.77914348253702e-08,7.7025030519853e-07
