,Mean Expression,Log2 Fold Change,Adjusted P value,Gene Name,Function,Pathway
PMI1031,1118.35038940042,4.916654578350429,1.38881520464654e-46,csaA,(GenBank) putative protein secretion chaperone,
PMI0781,550.574064034338,4.70058576407427,6.51562381700468e-32,rmf,(GenBank) ribosome modulation factor,
PMI0348,1505.67995712595,4.6006718886988605,2.57175336046289e-17,fadE,(GenBank) acyl-coenzyme A dehydrogenase,"pmr00071  Fatty acid degradation, pmr01100  Metabolic pathways, pmr01212  Fatty acid metabolism"
PMI2408,120.501755705372,3.7467973944041604,5.95545943054286e-12,,(GenBank) MFS-family transporter,pmr02020  Two-component system
PMI1956,159.943869455271,3.7449655779630295,8.21814765348742e-19,,(GenBank) conserved hypothetical protein,
PMI2662,11219.4104681594,3.7293442209602703,3.67103757671123e-09,,(GenBank) chitin binding protein,
PMI3226,4614.88903929535,3.71535024371739,3.04295426813924e-12,,(GenBank) hypothetical protein,
PMI3039,3491.01179674408,3.58774705568677,9.29187242502294e-09,actP,(GenBank) cation/acetate symporter,
PMI1804,1400.63238889981,3.46047202761267,6.53765659192604e-15,,(GenBank) ferritin-like protein,
PMI3549,1929.8577582235998,3.2636937533524595,2.08939920491384e-08,fadA,(GenBank) 3-ketoacyl-CoA thiolase,"pmr00071  Fatty acid degradation, pmr00280  Valine, leucine and isoleucine degradation, pmr00281  Geraniol degradation, pmr00362  Benzoate degradation, pmr00592  alpha-Linolenic acid metabolism, pmr01100  Metabolic pathways, pmr01110  Biosynthesis of secondary metabolites, pmr01120  Microbial metabolism in diverse environments, pmr01130  Biosynthesis of antibiotics, pmr01212  Fatty acid metabolism"
PMI1011,244.756645712127,3.1811165481150097,3.01650010783377e-10,,(GenBank) conserved hypothetical protein,
