,Mean Expression,Log2 Fold Change,Adjusted P value,Gene Name,Function,Pathway
PMI0348,788.2451694185451,3.4488742110446298,3.04319054972824e-23,fadE,(GenBank) acyl-coenzyme A dehydrogenase,"pmr00071  Fatty acid degradation, pmr01100  Metabolic pathways, pmr01212  Fatty acid metabolism"
PMI0781,412.33769577786904,3.30473840271634,1.30209392748112e-17,rmf,(GenBank) ribosome modulation factor,
PMI3226,4790.03970905303,2.89929228579444,2.1561540449895396e-13,,(GenBank) hypothetical protein,
PMI1956,167.15704592518,2.42125318920944,3.5497672696771294e-09,,(GenBank) conserved hypothetical protein,
PMI1807,883.347699074391,2.37198201281698,1.6372674860106198e-19,fadJ,(GenBank) fatty acid oxidation complex alpha subunit [includes: enoyl-coa hydratase and 3-hydroxyacyl-coa dehydrogenase],"pmr00071  Fatty acid degradation, pmr00280  Valine, leucine and isoleucine degradation, pmr00281  Geraniol degradation, pmr00310  Lysine degradation, pmr00362  Benzoate degradation, pmr00380  Tryptophan metabolism, pmr00410  beta-Alanine metabolism, pmr00640  Propanoate metabolism, pmr00650  Butanoate metabolism, pmr00903  Limonene and pinene degradation, pmr00930  Caprolactam degradation, pmr01040  Biosynthesis of unsaturated fatty acids, pmr01100  Metabolic pathways, pmr01110  Biosynthesis of secondary metabolites, pmr01120  Microbial metabolism in diverse environments, pmr01130  Biosynthesis of antibiotics, pmr01200  Carbon metabolism, pmr01212  Fatty acid metabolism"
PMI3550,3146.08188502776,2.3212205096361296,1.5686630394600898e-11,fadB,(GenBank) fatty oxidation complex alpha subunit [includes: enoyl-CoA hydratase; 3-hydroxyacyl-CoA dehydrogenase and 3-hydroxybutyryl-CoA epimerase],"pmr00071  Fatty acid degradation, pmr00280  Valine, leucine and isoleucine degradation, pmr00281  Geraniol degradation, pmr00310  Lysine degradation, pmr00362  Benzoate degradation, pmr00380  Tryptophan metabolism, pmr00410  beta-Alanine metabolism, pmr00640  Propanoate metabolism, pmr00650  Butanoate metabolism, pmr00903  Limonene and pinene degradation, pmr00930  Caprolactam degradation, pmr01040  Biosynthesis of unsaturated fatty acids, pmr01100  Metabolic pathways, pmr01110  Biosynthesis of secondary metabolites, pmr01120  Microbial metabolism in diverse environments, pmr01130  Biosynthesis of antibiotics, pmr01200  Carbon metabolism, pmr01212  Fatty acid metabolism"
PMI1808,567.429709270213,2.23539442163714,1.17243262220996e-12,fadI,(GenBank) 3-ketoacyl-CoA thiolase,"pmr00071  Fatty acid degradation, pmr00280  Valine, leucine and isoleucine degradation, pmr00281  Geraniol degradation, pmr00362  Benzoate degradation, pmr00592  alpha-Linolenic acid metabolism, pmr01100  Metabolic pathways, pmr01110  Biosynthesis of secondary metabolites, pmr01120  Microbial metabolism in diverse environments, pmr01130  Biosynthesis of antibiotics, pmr01212  Fatty acid metabolism"
PMI2408,59.4807103796719,2.2297234091998597,7.644397013282451e-08,,(GenBank) MFS-family transporter,pmr02020  Two-component system
PMI1542,42.6152684335827,2.21548772133568,1.04651255479852e-06,,(GenBank) hypothetical protein,
PMI1439,220.39774676592603,2.18359500555952,4.02346026210834e-11,phoH,(GenBank) PhoH protein (phosphate starvation-inducible protein PsiH),
PMI0603,722.025049089498,2.13129085645001,1.0982129489409699e-20,bioB,(GenBank) biotin synthase,"pmr00780  Biotin metabolism, pmr01100  Metabolic pathways"
PMI3556,5864.063609818941,2.12978276790739,3.17970116420793e-09,,(GenBank) putative membrane protein,
PMI3039,2999.1465056733196,2.12892145723703,1.12641638699397e-06,actP,(GenBank) cation/acetate symporter,
PMI2114,5124.42424005313,2.10950909147275,1.25508184898916e-07,,(GenBank) putative sodium:alanine symporter,
