,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PMI0474,62.0190738455811,3.38288540081012,0.640844305060935,5.27879451232457,1.30036530947967e-07,3.58573496733452e-05
fig|529507.6.peg.2778,15.3342884400843,3.07047158384175,0.87195210624742,3.52137641717043,0.000429312726510658,0.0128067288723718
PMIP19,54.9195639993407,2.99473126342259,0.692366184692702,4.32535749092334,1.52284693050575e-05,0.00123033341593777
fig|529507.6.peg.2392,13.3149054981621,2.85894426484834,0.881863499553422,3.24193513655585,0.00118721039955129,0.0306933461963994
fig|529507.6.peg.1026,68.341784890729,2.85890457239468,0.587900132609701,4.86290853465867,1.15673307002138e-06,0.000160207530197962
PMI1706,37.9159351185985,2.53964278866827,0.720582750851858,3.52442906198623,0.000424396433132185,0.0128067288723718
PMI3283,604.041411097451,2.51642564865268,0.4503337966057,5.58791205017197,2.29815975972815e-08,1.49024535178854e-05
PMI0975,24.7936268638814,2.34706038767002,0.753050250728223,3.1167380734557,0.00182863963099943,0.0425052631892303
PMI2071,26.4508567568565,2.28894735370532,0.740480576917406,3.09116460992688,0.00199373073476028,0.0444349872954043
PMI1709,109.570429040123,2.17318827720496,0.576600047615084,3.76896999262076,0.000163922590941689,0.0067626788050199
PMI2570,139.336488159029,2.17275275369397,0.502106979914763,4.32727056306368,1.50968470945775e-05,0.00123033341593777
PMI3006,387.33794651484,2.15220848404808,0.435080667922145,4.94668837925293,7.54866740039178e-07,0.000135478704616346
PMI2399,475.478411512559,2.14459662044119,0.506505815007414,4.23410068926809,2.29468121409172e-05,0.00164792106449031
PMI3289,74.572337081284,2.14133617699294,0.605237007961746,3.53801262782047,0.000403150777322748,0.0126082154391743
PMI1705,63.2402089226171,2.13222178541994,0.582812585158285,3.65850333317846,0.000253692442095803,0.00862999377585546
PMI2143,174.350316057513,2.03816649145315,0.498378630769061,4.08959446818176,4.32128045532535e-05,0.00261950846002351
PMI2660,135.414281010089,1.91253646731028,0.587600275520401,3.25482568165317,0.0011346198455359,0.0297301064931637
PMI0663,230.253636999192,1.70011478668918,0.556535885064697,3.05481610856331,0.00225198555130978,0.0485177775998852
PMI1865,125.905881586333,1.63979299960077,0.529936580568522,3.09431931994878,0.00197265046272857,0.0444349872954043
PMI3232,184.354896827766,1.63474271335799,0.523877642723123,3.12046665106869,0.00180564742111777,0.0425052631892303
fig|529507.6.peg.1343,1377.636986531,-1.31368440301957,0.411029911697038,-3.1960798122835,0.00139308570862081,0.0337649148626968
PMI3716,680.260546072535,-1.61250261247403,0.431557296656144,-3.73647398611554,0.000186618745608165,0.00709517152420062
PMI3442,84.2487306155835,-1.67304598877892,0.537217785199259,-3.11427885463318,0.0018439512717608,0.0425052631892303
PMI2872,123.269124365347,-1.73071815991623,0.537911897701833,-3.21747514288217,0.0012932423256279,0.0321486778127242
PMI2784,118.981325466823,-1.7405354677674,0.532929363461612,-3.26597779574737,0.0010908680275499,0.0289752480194419
PMI0392,764.704309566906,-1.74764940546275,0.427350534488345,-4.08949858353439,4.32306708203984e-05,0.00261950846002351
PMI3418,392.678116990622,-1.7630356288369,0.525827972582579,-3.35287531429306,0.000799767267592586,0.0218415314346764
PMI3163,160.418074021931,-1.85869066775466,0.523577313338797,-3.54998320286644,0.000385255731735536,0.0122460797350033
PMI1620,511.747369998203,-1.8693362439655,0.561322878383288,-3.33023348228658,0.000867731891459459,0.0233685019102763
PMI3447,1616.07042554668,-1.92865967180144,0.497770782476891,-3.87459396914478,0.000106802625432455,0.0048160532724077
PMI3694,48.777961279512,-1.99864439665829,0.642403632404902,-3.11119722218282,0.00186330447193635,0.0425052631892303
fig|529507.6.peg.137,83.5108718730654,-2.04928830354294,0.556581567487877,-3.68191909910414,0.00023148487332758,0.00831202165522551
PMI3062,66.4413713953031,-2.07180369231673,0.568554610907704,-3.64398362544114,0.000268450506235724,0.00897457813088048
PMI0161,93.1220591133038,-2.09400686120144,0.584693133704562,-3.5813775474564,0.000341787324012812,0.011045427021014
PMI3064,71.0671378728055,-2.10038047428123,0.577582443768332,-3.63650331990301,0.00027636408296682,0.00908254164190955
PMI3378,39.1278079028221,-2.19934262040907,0.715603207829009,-3.07341079015201,0.0021162695108774,0.0466300747908101
PMI2750,84.925382899642,-2.21539384427114,0.592616731840755,-3.73832483161554,0.000185250497500022,0.00709517152420062
PMI1406,89.2319593902012,-2.21719642618111,0.684867188320238,-3.23741079145461,0.00120619644778351,0.0307738804243715
PMI2363,153.466009939852,-2.22194453831783,0.546659091825851,-4.06458901268155,4.81171733023024e-05,0.00282724845555043
PMI2792,81.8925997411237,-2.26213070558807,0.568168979072358,-3.98144000976861,6.84990105438003e-05,0.00345820636160976
PMI3265,24.492139746504,-2.28257556925813,0.744778345629686,-3.06477166347833,0.0021783623783776,0.0474589286704963
PMI3399,25.758354187108,-2.29144420972957,0.719850458436044,-3.18322254695509,0.00145645623289618,0.0348650448837741
PMI3260,52.3701834042172,-2.33781610952077,0.62971319946252,-3.71250930029125,0.000205214517485382,0.0076521336423876
PMI3269,67.4598730745596,-2.35997781762127,0.590291940875408,-3.99798414005348,6.38842305198171e-05,0.0033837392363529
PMI2284,43.3608394982148,-2.36005642252165,0.639260643305544,-3.69185315447869,0.000222625997789727,0.00814475112668453
PMI3272,61.2838043259794,-2.38008876133511,0.586625254849571,-4.0572558744431,4.9652674206631e-05,0.00283166280254875
PMI3669,46.8689299873256,-2.39638156143809,0.654560672179735,-3.66105338021297,0.000251180414389087,0.00862999377585546
PMI2198,161.338520493242,-2.4014494140881,0.635525782531826,-3.77868133771242,0.000157661022623033,0.00664575484491438
PMI3258,110.678873832791,-2.41346639632853,0.528424138130591,-4.56729021665562,4.94069739593475e-06,0.000504211171090393
PMI1035,39.0465013194753,-2.47613800720642,0.658591861009963,-3.75974583622885,0.000170086068156905,0.00687076846158829
PMI3277,72.4466833209611,-2.48702879850971,0.625227565329374,-3.97779774344967,6.95564972164934e-05,0.00345820636160976
PMI1608,76.414900803674,-2.50381041543251,0.710913113680531,-3.52196403083607,0.000428362259733975,0.0128067288723718
PMI0160,36.9288003081265,-2.52502776652606,0.686723538488896,-3.67692036897741,0.000236066692397472,0.00832242393743089
PMI3257,113.702952202766,-2.56994135673521,0.598591497771946,-4.29331416550511,1.76025653220887e-05,0.0013652549663812
PMI0825,25.8718904368019,-2.58644572308495,0.76614878188257,-3.37590528660709,0.000735732420678416,0.0203797880527921
PMI3281,42.7530343099702,-2.60222144343353,0.658621300008003,-3.95101318982838,7.78210348904813e-05,0.00368036552811325
