,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PMI1031,1003.51747847062,2.77565577457639,0.231259109421349,12.0023629837612,3.45295159019882e-33,1.19644772600389e-29
PMI0437,5635.45820278623,2.06335601940183,0.209439241260566,9.85181194786119,6.73192256664524e-23,5.83152792335644e-20
PMI3038,1196.08894076313,2.04417814657687,0.227852525196679,8.97149656257863,2.92512588184708e-19,1.01355611806001e-16
PMI2847,4752.58323243262,1.9120112481213,0.19696393147295,9.70741817460061,2.80348268165648e-22,1.82595394234716e-19
PMI2254,10780.5649341325,1.86259945436107,0.161341799269702,11.5444321483456,7.87599021922515e-31,1.36451530548076e-27
PMI1397,5362.69332472524,1.703407286263,0.230013936325526,7.40566990624545,1.30490049383931e-13,1.45854200359781e-11
PMI0348,1095.39186309399,1.69934708250676,0.21765917685135,7.80737622502047,5.83907725664956e-15,8.4301677892878e-13
PMI2843,597.744233609547,1.68163144659988,0.162428447946264,10.3530598725921,4.05320573624211e-25,4.68145262535963e-22
PMI2114,3558.8958225647,1.67931809113107,0.179117122996486,9.37553073116305,6.88286111553398e-21,3.40701625218932e-18
PMI3039,2515.57906854797,1.63900378662224,0.193681620134432,8.4623609895695,2.62017975973526e-17,4.77742396212071e-15
PMI2256,11627.9715046434,1.6051541451146,0.177937070017731,9.02090916161906,1.8653471390948e-19,7.18158648551498e-17
PMI3037,32280.5897894514,1.59872627627476,0.164899645231725,9.69514685145711,3.16182500839335e-22,1.82595394234716e-19
PMI2255,3476.0233420254,1.54754528179792,0.190104546047499,8.14049592170853,3.93662097367372e-16,6.49542460656163e-14
PMI0223,8655.20449463539,1.54687881211794,0.177773306282686,8.70141217747381,3.27779398562465e-18,8.11254011442101e-16
PMI3253,3572.53658342988,1.53322571609681,0.202331071833209,7.57780652375885,3.51445964671113e-14,4.34914381280503e-12
PMI1320,1060.81574221917,1.52908645470138,0.17099479711939,8.94229813105808,3.81159651395881e-19,1.10059849340561e-16
PMI3549,1915.42957520855,1.52510271554247,0.217249650509837,7.020046807732,2.21793929445258e-12,1.97055375776363e-10
PMI1475,39003.5419173326,1.51437890228174,0.176257612431428,8.5918496307267,8.55803422118679e-18,1.85334928602576e-15
PMI3343,794.15701986225,1.50741900764755,0.192271828493886,7.84004094336416,4.50399548442906e-15,6.7853671102377e-13
PMI0072,4952.93464004334,1.4798377297581,0.159951262024272,9.2518040247381,2.20735137429823e-20,9.56059063992923e-18
PMI2763,579.63204495387,1.47392023653865,0.193807129519999,7.60508780140906,2.84710534810188e-14,3.65378519673075e-12
PMI3550,6140.49701744056,1.46671676301725,0.228644182385674,6.41484400658492,1.40967130141627e-10,9.04539085075438e-09
PMI1082,421.715859555513,1.43690196550016,0.203361371637583,7.06575665737005,1.59743137434503e-12,1.49597289516365e-10
PMI2222,30.1648951322465,1.4335929137459,0.340089635262106,4.21533844346956,2.49403880671295e-05,0.000474826618970349
PMI2844,378.282597626193,1.42976286381114,0.176925335675703,8.08116518954549,6.4150842138429e-16,1.01037576368026e-13
PMI0435,377.660873875153,1.42519799931862,0.190867602415774,7.46694557525827,8.20776951333547e-14,9.80686943576117e-12
PMI0622,87.1603605253242,1.41535994333964,0.285974412771227,4.94925377981944,7.44985565596564e-07,2.16922267629588e-05
PMI2020,19446.9731604369,1.40876950153684,0.161174534216802,8.74064571293779,2.31781815974298e-18,6.17787686423803e-16
PMI1532,2888.53686833155,1.40499242304176,0.205588054907322,6.83401778218644,8.25687831533454e-12,6.85657507517777e-10
PMI0434,990.741427589955,1.35035991891456,0.195314486568178,6.91377246327911,4.71931931140109e-12,4.08811035350119e-10
PMI1011,289.72314903456,1.34819756616875,0.281908792506426,4.78238920532433,1.7322386811815e-06,4.61708233099531e-05
PMI3557,5559.61262215716,1.33429396620363,0.148962825984523,8.95722780086263,3.32943370812677e-19,1.04877161805993e-16
PMI2846,328.659598460026,1.32840262993832,0.196441999835571,6.76231473437578,1.35804282554284e-11,1.0943298582572e-09
PMI2341,1155.09877647389,1.31975800706272,0.154935586706696,8.51810765438363,1.6218141557874e-17,3.12199224989074e-15
PMI2764,1064.00564238689,1.31690904352611,0.203743030311101,6.46357836886631,1.02255538796294e-10,6.68519701753129e-09
PMI0436,442.841436421067,1.30173966061466,0.184999646482188,7.0364440439079,1.97207793765472e-12,1.79822369841411e-10
PMI1807,2041.27227773631,1.29704378954707,0.205774568455535,6.30322687240791,2.91511695649598e-10,1.83652368259247e-08
PMI2021,23172.7235693641,1.2844125827923,0.151886410193979,8.45640226240084,2.75753186846794e-17,4.77742396212071e-15
PMI3007,1409.40232359602,1.28377536458646,0.204485289633632,6.27808174801494,3.42775688931007e-10,2.0477892450792e-08
PMI3585,61.3065717216596,1.27898270793217,0.255394243046898,5.00787602991237,5.50339610022998e-07,1.70261316850865e-05
PMI2224,62.1853579265438,1.26781850627744,0.255352738988295,4.96496928640956,6.8711943191236e-07,2.02269494010082e-05
PMI1349,864.231558378592,1.26780224917707,0.231685338219454,5.47208666254139,4.44767225383384e-08,1.79199818134119e-06
PMI0279,1028131.17836218,1.25253804961699,0.205421195583314,6.09741388204989,1.07798158700715e-09,5.83625968590592e-08
PMI0781,807.93634792473,1.2491277137511,0.244478815426075,5.10934950160869,3.23269872966323e-07,1.07704818252722e-05
PMI2268,2443.63605774441,1.24471965184599,0.184639684212811,6.74134413277787,1.56928024237191e-11,1.20834578662637e-09
PMI1625,228.567082528152,1.21631271081992,0.244044513424014,4.98397892152831,6.22898682220619e-07,1.87682081208213e-05
PMI2845,161.152565024259,1.21413810915837,0.230600540067772,5.26511390130111,1.40102467806161e-07,5.05682344737863e-06
PMI2662,5540.4014156308,1.20979004411988,0.225606707847755,5.36238508004058,8.21302195577254e-08,2.99559169228967e-06
PMI1624,32021.0029626921,1.20801915777072,0.20429127830954,5.91321943729947,3.35484747855629e-09,1.73500694226829e-07
PMI1471,2663.9310906948,1.20049526921826,0.154488990522691,7.77074965119883,7.80229713039355e-15,1.08139838227255e-12
PMI2407,239.508345659486,1.18483723666201,0.202933223694878,5.8385572115263,5.26548020891207e-09,2.53401235053894e-07
PMI1395,148.42717706512,1.18011545022213,0.24950916586249,4.72974788778908,2.24798821155214e-06,5.68560522118843e-05
PMI1740,2324.49782719789,1.17487576719464,0.205240488742863,5.72438593569416,1.03808524811222e-08,4.61149408296007e-07
PMI1808,1142.88372405973,1.16642722998777,0.185285352156837,6.29530190276686,3.06802143064042e-10,1.89833826020876e-08
PMI2223,534.847591182284,1.16002873473639,0.269452643525961,4.30513028024763,1.6688749259088e-05,0.000330437235329942
PMI1166,3534.58071786912,1.15172191013896,0.155809327018815,7.39186756130384,1.44780698591899e-13,1.56770350194041e-11
PMI3386,1851.47102204585,1.14762601705393,0.20251339185257,5.66691420530551,1.45392095063082e-08,6.21955073325408e-07
PMI3556,8338.6271382357,1.14513662222958,0.185277073813284,6.18067091983333,6.38297472497766e-10,3.56725926162058e-08
PMI1409,4908.7674932427,1.14466458441699,0.232441028299197,4.92453760333387,8.45600676814235e-07,2.4416719543011e-05
PMI2220,162.176152059486,1.13168355442951,0.223739226245153,5.05804714453383,4.23571731246163e-07,1.35895930441477e-05
PMI1529,5996.55465529361,1.12550081391677,0.236657550761167,4.75582042616768,1.9764209855155e-06,5.07281386282312e-05
PMI2019,18848.2014451818,1.10558979042742,0.165895320239562,6.66438202615292,2.65781296331266e-11,1.95943019529327e-09
PMI3080,92.6514842856452,1.09738338490831,0.230397640858667,4.76299748911698,1.90738215538203e-06,4.96923245744266e-05
PMI0391,543.229568440634,1.09045585105925,0.243222533021459,4.48336688839204,7.34744423329308e-06,0.000161132242204813
PMI2819,1053.83648082352,1.07135754261124,0.212313288263462,5.04611629057238,4.50881040012769e-07,1.42027527604022e-05
PMI3201,287.226124935537,1.07028155939103,0.205332597738962,5.2124288650537,1.86384047377432e-07,6.65794560992578e-06
PMI2221,407.930230280306,1.06821378516157,0.187269615477294,5.70414897493657,1.16925782560532e-08,5.12845362749676e-07
PMI1542,61.3939878426856,1.06561605806063,0.325150775701743,3.27729821883652,0.00104805610784559,0.0095566168781183
PMI1007,1039.86491306897,1.06410645981474,0.210873026264002,5.04619523258767,4.50694883306491e-07,1.42027527604022e-05
PMI3559,16914.7405906617,1.05213777807294,0.161734548378815,6.50533722460228,7.75192827205595e-11,5.16546758897575e-09
PMI2219,15.948664385986,1.04470633589555,0.34963282621124,2.9880098708591,0.00280800485247908,0.0200200345963786
PMI3701,3584.428542778,1.04140491049882,0.177123616673121,5.87953729750631,4.11414892888028e-09,2.03650371979574e-07
PMI0208,1920.72646869844,1.03528390282537,0.164742356034527,6.28426063427422,3.29417655943537e-10,2.0025125927094e-08
PMI1325,382.236877714462,1.03166457184371,0.187379942090889,5.50573642158186,3.67628222378397e-08,1.49862563593076e-06
PMI1161,538.661086352882,1.02816533483585,0.188840044272393,5.44463616706617,5.19113806558218e-08,2.0327707333528e-06
PMI1613,638.435382341543,1.02633305771841,0.24149768149026,4.24986712661176,2.13897362049213e-05,0.000409477546685372
PMI3699,515.39286117893,1.02277589189326,0.166088602965412,6.15801369649821,7.36629865692983e-10,4.0514642613114e-08
PMI3579,8422.3276350159,1.01924775410865,0.242115679817102,4.20975524955097,2.55647476689641e-05,0.000481423101483481
PMI0024,1587.57273737938,1.01809181150725,0.216893353723337,4.69397422295338,2.67947811621611e-06,6.49258158929289e-05
PMI3387,864.252584781158,1.01512693116513,0.227138602959811,4.46919597962283,7.85141684967108e-06,0.000168976145242921
PMI3703,809.871910092757,1.01292881526015,0.162095953392022,6.24894572667355,4.13232466888427e-10,2.42306722207792e-08
PMI1642,744.463841805315,-1.01982606388916,0.227824011639845,-4.47637655288659,7.59205329432811e-06,0.000165449463300924
PMI2594,12.8509934558619,-1.02064536284277,0.365758522053622,-2.79048962991253,0.00526283860992381,0.0314409237644586
PMI0972,105.996380469291,-1.02927269576632,0.299499183734785,-3.43664608007003,0.000588964655353046,0.00607369800832828
PMI3113,1567.71941760413,-1.04421370786903,0.172695600921328,-6.04655649766507,1.47974357569959e-09,7.76865377242285e-08
PMI1427,1606.53174210131,-1.05008634266831,0.227401480596833,-4.61776387696454,3.87897264679724e-06,9.08151366294083e-05
PMI3024,11.5996431587157,-1.05050709226554,0.357328669955127,-2.93989030434491,0.0032832846275226,0.0220904489987685
PMI0029,4820.96434692572,-1.05512291364477,0.206067588698775,-5.12027592649284,3.05088929707893e-07,1.0263428557649e-05
PMI3131,869.778461967673,-1.07410516580504,0.363578281688918,-2.95426107636444,0.00313418735677393,0.0212983375255396
PMI1416,4135.26694928106,-1.08133525826424,0.162368566577375,-6.65975737212008,2.74279998484075e-11,1.97995873905692e-09
PMI3114,4660.71475720497,-1.09667225268869,0.154570027571133,-7.09498645967446,1.29364150665546e-12,1.28070509158891e-10
PMI1210,3290.71028249696,-1.11882397991925,0.193406977016707,-5.78481705870725,7.2591285676746e-09,3.39903790364763e-07
PMI1428,415.678253198709,-1.15604983907876,0.211893240580842,-5.4558127286637,4.87493507116238e-08,1.94156896799743e-06
PMI2497,139.946375046938,-1.15653943364244,0.232962478864981,-4.96448801230667,6.88825405286858e-07,2.02269494010082e-05
PMI2599,5807.5544573757,-1.15918435227872,0.213022058432159,-5.44161651995249,5.27992398273454e-08,2.0327707333528e-06
PMI1481,234.181904639737,-1.18782492158223,0.234528994314188,-5.06472525947456,4.08989765242213e-07,1.32443881921894e-05
PMI0229,151.945704232791,-1.22366607924946,0.25365183085226,-4.82419572978439,1.40569326205267e-06,3.80525558829102e-05
