,Sample,Total,Mapped,% Mapped
S63630,Merge | 0 min,32859410,32121042,97.8
S63631,Merge | 0 min,29945225,29451361,98.4
S63632,Merge | 0 min,29061864,28781175,99.0
S63633,Merge | 4 hrs,28067896,27208082,96.9
S63634,Merge | 4 hrs,24047530,22646537,94.2
S63635,Merge | 4 hrs,23483422,22478382,95.7
S63636,Dienes Line | 0 min,24030067,23800094,99.0
S63638,Dienes Line | 0 min,29347302,28991316,98.8
S63639,Dienes Line | 4 hrs,27645511,27345398,98.9
S63641,Dienes Line | 4 hrs,25563091,25205609,98.6
S76067,Merge | 30 min,13737172,13646142,99.3
S76068,Merge | 30 min,13204308,13108906,99.3
S76069,Merge | 30 min,13221680,13146910,99.4
S76070,Merge | 0 min,12449103,12367563,99.3
S76071,Merge | 0 min,12388430,12187996,98.4
S76072,Merge | 0 min,13619107,13492698,99.1
S76073,WT | Behind Dienes Line | 30 min,9877675,9779149,99.0
S76074,WT | Behind Dienes Line | 30 min,11330585,11258956,99.4
S76075,WT | Behind Dienes Line | 30 min,9455995,9384678,99.2
S76076,9C1 | Behind Dienes Line | 30 min,12320625,12214117,99.1
S76077,9C1 | Behind Dienes Line | 30 min,10733833,10651435,99.2
S76078,9C1 | Behind Dienes Line | 30 min,10487597,10198541,97.2
S76079,Dienes Line | 0 min,10064063,10001907,99.4
S76080,Dienes Line | 0 min,9659786,9595087,99.3
S76081,Dienes Line | 0 min,11301334,11229058,99.4
S76082,Dienes Line | 30 min,10637942,10517630,98.9
S76083,Dienes Line | 30 min,12062607,11951283,99.1
S76084,Dienes Line | 30 min,11349277,11108692,97.9
S76085,9C1 | Behind Dienes Line | 0 min,10181299,10117527,99.4
S76086,9C1 | Behind Dienes Line | 0 min,10342656,10268270,99.3
S76087,9C1 | Behind Dienes Line | 0 min,9007574,8952601,99.4
S76088,WT | Behind Dienes Line | 0 min,10279578,10220371,99.4
S76089,WT | Behind Dienes Line | 0 min,11395312,11335735,99.5
S76090,WT | Behind Dienes Line | 0 min,11893433,11825185,99.4
S77462,WT | Behind Merge | 0 min,9424231,9052711,96.1
S77463,WT | Behind Merge | 0 min,9954704,9577563,96.2
S77464,WT | Behind Merge | 0 min,10174303,9960272,97.9
S77465,WT | Behind Merge | 30 min,12315340,12178188,98.9
S77466,WT | Behind Merge | 30 min,11861171,11718200,98.8
S77467,WT | Behind Merge | 30 min,11286548,11154944,98.8
