,Mean Expression,Log2 Fold Change,Adjusted P value,Gene Name,Function,Pathway
PMI1031,1003.51747847062,2.7756557745763906,1.19644772600389e-29,csaA,(GenBank) putative protein secretion chaperone,
PMI0437,5635.458202786229,2.06335601940183,5.83152792335644e-20,gltI,"(GenBank) glutamate/aspartate ABC transporter, substrate-binding protein","pmr02010  ABC transporters, pmr02020  Two-component system"
PMI3038,1196.08894076313,2.0441781465768702,1.0135561180600101e-16,,(GenBank) putative membrane protein,
PMI2847,4752.58323243262,1.9120112481213,1.82595394234716e-19,dppA,"(GenBank) dipeptide ABC transporter, substrate-binding protein","pmr02010  ABC transporters, pmr02030  Bacterial chemotaxis"
PMI2254,10780.5649341325,1.86259945436107,1.36451530548076e-27,mdeA,(GenBank) methionine gamma-lyase,"pmr00270  Cysteine and methionine metabolism, pmr00450  Selenocompound metabolism"
PMI1397,5362.69332472524,1.703407286263,1.45854200359781e-11,sodB,(GenBank) superoxide dismutase [Fe],
PMI0348,1095.39186309399,1.69934708250676,8.4301677892878e-13,fadE,(GenBank) acyl-coenzyme A dehydrogenase,"pmr00071  Fatty acid degradation, pmr01100  Metabolic pathways, pmr01212  Fatty acid metabolism"
PMI2843,597.744233609547,1.6816314465998798,4.681452625359629e-22,dppF,"(GenBank) dipeptide ABC transporter, ATP-binding protein",pmr02010  ABC transporters
PMI2114,3558.8958225646998,1.67931809113107,3.40701625218932e-18,,(GenBank) putative sodium:alanine symporter,
PMI3039,2515.57906854797,1.63900378662224,4.77742396212071e-15,actP,(GenBank) cation/acetate symporter,
PMI2256,11627.971504643401,1.6051541451146,7.181586485514979e-17,,(GenBank) putative oxidoreductase,pmr00920  Sulfur metabolism
PMI3037,32280.589789451402,1.59872627627476,1.82595394234716e-19,acs,(GenBank) acetyl-coenzyme A synthetase,"pmr00010  Glycolysis / Gluconeogenesis, pmr00620  Pyruvate metabolism, pmr00640  Propanoate metabolism, pmr00680  Methane metabolism, pmr01100  Metabolic pathways, pmr01110  Biosynthesis of secondary metabolites, pmr01120  Microbial metabolism in diverse environments, pmr01130  Biosynthesis of antibiotics, pmr01200  Carbon metabolism"
PMI2255,3476.0233420254,1.5475452817979198,6.49542460656163e-14,,(GenBank) conserved hypothetical protein,
PMI0223,8655.20449463539,1.54687881211794,8.11254011442101e-16,,(GenBank) putative alpha-keto acid decarboxylase,
PMI3253,3572.5365834298796,1.5332257160968101,4.34914381280503e-12,bfr,(GenBank) bacterioferritin,pmr00860  Porphyrin and chlorophyll metabolism
PMI1320,1060.81574221917,1.5290864547013798,1.10059849340561e-16,acnA,(GenBank) aconitate hydratase 1,"pmr00020  Citrate cycle (TCA cycle), pmr00630  Glyoxylate and dicarboxylate metabolism, pmr01100  Metabolic pathways, pmr01110  Biosynthesis of secondary metabolites, pmr01120  Microbial metabolism in diverse environments, pmr01130  Biosynthesis of antibiotics, pmr01200  Carbon metabolism, pmr01210  2-Oxocarboxylic acid metabolism, pmr01230  Biosynthesis of amino acids"
PMI3549,1915.4295752085502,1.52510271554247,1.97055375776363e-10,fadA,(GenBank) 3-ketoacyl-CoA thiolase,"pmr00071  Fatty acid degradation, pmr00280  Valine, leucine and isoleucine degradation, pmr00281  Geraniol degradation, pmr00362  Benzoate degradation, pmr00592  alpha-Linolenic acid metabolism, pmr01100  Metabolic pathways, pmr01110  Biosynthesis of secondary metabolites, pmr01120  Microbial metabolism in diverse environments, pmr01130  Biosynthesis of antibiotics, pmr01212  Fatty acid metabolism"
PMI1475,39003.5419173326,1.51437890228174,1.8533492860257603e-15,oppA,"(GenBank) oligopeptide ABC transporter, oligopeptide-binding protein","pmr01501  beta-Lactam resistance, pmr02010  ABC transporters, pmr02024  Quorum sensing"
PMI3343,794.1570198622501,1.5074190076475502,6.785367110237701e-13,,(GenBank) putative thioesterase,
PMI0072,4952.93464004334,1.4798377297581002,9.56059063992923e-18,ggt,(GenBank) gamma-glutamyltranspeptidase,"pmr00430  Taurine and hypotaurine metabolism, pmr00460  Cyanoamino acid metabolism, pmr00480  Glutathione metabolism, pmr01100  Metabolic pathways"
PMI2763,579.63204495387,1.47392023653865,3.6537851967307496e-12,aceA,(GenBank) isocitrate lyase,"pmr00630  Glyoxylate and dicarboxylate metabolism, pmr01100  Metabolic pathways, pmr01110  Biosynthesis of secondary metabolites, pmr01120  Microbial metabolism in diverse environments, pmr01200  Carbon metabolism"
PMI3550,6140.497017440561,1.46671676301725,9.04539085075438e-09,fadB,(GenBank) fatty oxidation complex alpha subunit [includes: enoyl-CoA hydratase; 3-hydroxyacyl-CoA dehydrogenase and 3-hydroxybutyryl-CoA epimerase],"pmr00071  Fatty acid degradation, pmr00280  Valine, leucine and isoleucine degradation, pmr00281  Geraniol degradation, pmr00310  Lysine degradation, pmr00362  Benzoate degradation, pmr00380  Tryptophan metabolism, pmr00410  beta-Alanine metabolism, pmr00640  Propanoate metabolism, pmr00650  Butanoate metabolism, pmr00903  Limonene and pinene degradation, pmr00930  Caprolactam degradation, pmr01040  Biosynthesis of unsaturated fatty acids, pmr01100  Metabolic pathways, pmr01110  Biosynthesis of secondary metabolites, pmr01120  Microbial metabolism in diverse environments, pmr01130  Biosynthesis of antibiotics, pmr01200  Carbon metabolism, pmr01212  Fatty acid metabolism"
PMI1082,421.715859555513,1.4369019655001598,1.49597289516365e-10,,(GenBank) putative membrane protein,
PMI2222,30.1648951322465,1.4335929137458998,0.000474826618970349,,(GenBank) fimbrial subunit,
PMI2844,378.282597626193,1.4297628638111397,1.01037576368026e-13,dppD,"(GenBank) dipeptide ABC transporter, ATP-binding protein",pmr02010  ABC transporters
PMI0435,377.66087387515296,1.4251979993186203,9.80686943576117e-12,gltK,"(GenBank) glutamate/aspartate ABC transporter, permease protein","pmr02010  ABC transporters, pmr02020  Two-component system"
PMI0622,87.16036052532421,1.41535994333964,2.16922267629588e-05,,(GenBank) putative transglycosylase associated protein,
PMI2020,19446.9731604369,1.4087695015368402,6.17787686423803e-16,gcvH,(GenBank) glycine cleavage system H protein,"pmr00260  Glycine, serine and threonine metabolism, pmr00630  Glyoxylate and dicarboxylate metabolism, pmr01100  Metabolic pathways, pmr01110  Biosynthesis of secondary metabolites, pmr01130  Biosynthesis of antibiotics, pmr01200  Carbon metabolism"
PMI1532,2888.53686833155,1.40499242304176,6.85657507517777e-10,,(GenBank) glucose 1-dehydrogenase,"pmr00030  Pentose phosphate pathway, pmr01120  Microbial metabolism in diverse environments, pmr01200  Carbon metabolism"
PMI0434,990.741427589955,1.35035991891456,4.08811035350119e-10,gltL,"(GenBank) glutamate/aspartate ABC transporter, ATP-binding protein","pmr02010  ABC transporters, pmr02020  Two-component system"
PMI1011,289.72314903456004,1.34819756616875,4.61708233099531e-05,,(GenBank) conserved hypothetical protein,
PMI3557,5559.61262215716,1.3342939662036297,1.0487716180599301e-16,,(GenBank) conserved hypothetical protein,
PMI2846,328.659598460026,1.32840262993832,1.0943298582572e-09,dppB,"(GenBank) dipeptide ABC transporter, permease protein",pmr02010  ABC transporters
