,Mean Expression,Log2 Fold Change,Adjusted P value,Gene Name,Function,Pathway
PMI0474,62.019073845581104,3.38288540081012,3.58573496733452e-05,,(GenBank) putative phage protein,
fig|529507.6.peg.2778,15.3342884400843,3.07047158384175,0.0128067288723718,,,
PMIP19,54.9195639993407,2.9947312634225898,0.00123033341593777,,(GenBank) putative conjugal transfer protein,
fig|529507.6.peg.2392,13.3149054981621,2.8589442648483394,0.0306933461963994,,,
fig|529507.6.peg.1026,68.341784890729,2.8589045723946804,0.00016020753019796202,,,
PMI1706,37.9159351185985,2.53964278866827,0.0128067288723718,dmsB,(GenBank) anaerobic dimethyl sulfoxide reductase chain B,pmr00920  Sulfur metabolism
PMI3283,604.041411097451,2.5164256486526804,1.49024535178854e-05,,(GenBank) conserved hypothetical protein,
PMI0975,24.793626863881396,2.34706038767002,0.0425052631892303,,(GenBank) conserved hypothetical protein,
PMI2071,26.4508567568565,2.2889473537053195,0.0444349872954043,ftsW,(GenBank) cell division protein,
PMI1709,109.570429040123,2.17318827720496,0.0067626788050199,,(GenBank) putative membrane protein,
PMI2570,139.33648815902902,2.17275275369397,0.00123033341593777,,(GenBank) putative membrane protein,
PMI3006,387.33794651484,2.15220848404808,0.000135478704616346,,(GenBank) conserved hypothetical protein,
PMI2399,475.478411512559,2.14459662044119,0.00164792106449031,tetAJ,(GenBank) tetracycline resistance protein (MFS-family transporter),
PMI3289,74.572337081284,2.14133617699294,0.0126082154391743,smf,(GenBank) conserved hypothetical protein,
PMI1705,63.2402089226171,2.13222178541994,0.008629993775855459,dmsA,(GenBank) dimethyl sulfoxide reductase chain A,pmr00920  Sulfur metabolism
PMI2143,174.350316057513,2.03816649145315,0.00261950846002351,,(GenBank) putative arylsulfatase,
PMI2660,135.41428101008898,1.9125364673102798,0.0297301064931637,caiF,(GenBank) transcriptional activator for carnitine metabolism,
